time_s,PAPER_OVL1_S_A_PU,PAPER_OVL1_S_B_PU,PAPER_OVL1_S_MAX_PU,PAPER_OVL1_EFFECTIVE_CAPACITY_PU,PAPER_OVL1_LOADING_INDEX_EQ,PAPER_OVL1_ABOVE_THRESHOLD,PAPER_OVL1_TIMER_OR_CURVE_STATE,PAPER_OVL1_TRIP_REQUEST,PAPER_OVL1_BRK_CMD,PAPER_OVL1_BRK_STATE,PAPER_OVL1_TRIP_EVENT_VALID,PAPER_OVL1_FIRST_TRIP_TIME_S,PAPER_OVL1_RELAY_ENABLE
0.0,0.0,0.0,0.0,7.87288399,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.01,0.00024471873161063,5.5094959756515e-07,0.00024471873161063,7.87288399,3.1083746683105e-05,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.02,0.002090789884952,5.1998898259528e-06,0.002090789884952,7.87288399,0.00026556848641586,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.03,0.0069253744166282,1.7368332149111e-05,0.0069253744166282,7.87288399,0.00087964898573695,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.04,0.015523637953604,3.9116498125057e-05,0.015523637953604,7.87288399,0.0019717854312755,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.05,0.028558934816127,7.1614087924317e-05,0.028558934816127,7.87288399,0.003627506114964,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.06,0.046151728887783,0.00011588258908432,0.046151728887783,7.87288399,0.0058621121492967,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.07,0.068555280688793,0.00017200991637141,0.068555280688793,7.87288399,0.0087077722440557,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.08,0.095971322073968,0.00024059877727276,0.095971322073968,7.87288399,0.01219011002777,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
0.09,0.12806830288532,0.00032170964804131,0.12806830288532,7.87288399,0.016267012577346,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0
