channel,scope,W0_mean,W3_mean,W4_mean,W4_min,W4_max,post_second_low_voltage_duration_s,risk_conclusion
CASCADE3_ELEC_DFIG_V,wind_pcc_only,0.8814228743769703,1.0745551163143257,0.7307531489177582,0.20263496718447,1.0824839914018,0.75,local_voltage_response_only
V30,local_bus_only,0.881340420209986,1.0745551163356635,0.7307531489417458,0.20263496723768,1.0824839914216,0.75,local_voltage_response_only
VIBR1_2,wind_pcc_only,0.8814228743769703,1.0745551163143257,0.7307531489177582,0.20263496718447,1.0824839914018,0.75,local_voltage_response_only
VIBR2_2,wind_pcc_only,0.8813345492679772,1.074493472178239,0.7307039482391615,0.20264138492378,1.0825520142359,0.75,local_voltage_response_only
VIBR3_2,wind_pcc_only,0.8813345492679772,1.0744934721782404,0.7307039482391642,0.20264138492378,1.0825520142359,0.75,local_voltage_response_only
V_Mach:1,generator_terminal_only,-4.835084271398497e-09,-0.5085150928739223,-0.059773958707900844,-69.962747820305,64.171427357857,0.010000000000001563,local_voltage_response_only
V_Mach:2,generator_terminal_only,-1.1810840059452503e-09,-1.003660947901282,-0.031355125627115815,-66.007164070742,68.970744088124,0.010000000000001563,local_voltage_response_only
V_Mach:3,generator_terminal_only,6.0019008501129395e-09,1.5136740418582264,0.09201076659316072,-69.770704560764,68.167778838897,0.010000000000001563,local_voltage_response_only
Vm_31,local_bus_only,0.9819945200472585,0.9945329412019717,0.8560188210380189,0.50765527184731,1.0681816997229,0.5800000000000001,local_voltage_response_only
Vm_32,local_bus_only,0.9830953431965864,1.0049076074685876,0.847442214937953,0.5692463708837,1.0362233052775,0.5300000000000011,local_voltage_response_only
Vm_33,local_bus_only,0.9971959376740078,0.995786413351276,0.9678807835923654,0.63309037746411,1.1239356524338,0.7700000000000014,local_voltage_response_only
Vm_34,local_bus_only,1.012298453333334,0.9654947909631415,0.9678196157702312,0.6009150613682,1.1350260945512,1.0200000000000014,local_voltage_response_only
Vm_35,local_bus_only,1.049296729527204,1.0600889725669522,1.0300941312899097,0.72390386499054,1.1845479105972,0.39000000000000057,local_voltage_response_only
Vm_36,local_bus_only,1.063498930093816,1.0582140106511413,1.0485774549636468,0.79624000213118,1.1809096176985,0.08000000000000007,local_voltage_response_only
Vm_37,local_bus_only,1.0277658150945082,1.1569904283531962,0.8867374862153635,0.42737962067387,1.1865193055091,0.6499999999999986,local_voltage_response_only
Vm_38,local_bus_only,1.026494567562778,2.017199750490243,2.3198186725349146,2.214527623715,2.7628731629403,0.0,local_voltage_response_only
Vm_39,local_bus_only,1.030000610004836,1.0350801342926388,0.8500135223953881,0.6978720434822,1.006214614758,0.17999999999999972,local_voltage_response_only
