network_branch_id,terminal,quantity,signal_name,measurement_unit,pre_fault_mean,pre_fault_median,pre_fault_min,pre_fault_max,fault_on_min,fault_on_max,fault_on_peak_abs,fault_on_peak_time_s,post_clear_early_mean,post_clear_early_min,post_clear_early_max,post_clear_early_peak_abs,post_clear_early_peak_time_s,post_clear_late_mean,post_clear_late_min,post_clear_late_max,delta_fault_on_from_pre_fault,delta_post_clear_early_from_pre_fault,delta_post_clear_late_from_pre_fault,abs_delta_fault_on_from_pre_fault,abs_delta_post_clear_early_from_pre_fault,abs_delta_post_clear_late_from_pre_fault,finite_sample_fraction,window_coverage_status
E_1_2_1,A,P,E_1_2_1_A_P,,-1.068517779359196,-1.0708578301692,-1.0718234802347,-1.0433755014585,-1.3322673730438,-0.60692216440573,1.3322673730438,2.16,-2.323790582921215,-6.7643509749805,2.6435625772875,6.7643509749805,2.72,2.1589152786027395,-5.3519986984114,10.818499503034,-0.021729537889197736,-1.255272803562019,3.2274330579619352,0.021729537889197736,1.255272803562019,3.2274330579619352,1.0,pass
E_1_2_1,A,Q,E_1_2_1_A_Q,,-0.041481377323577096,-0.048178159674141,-0.050410861800066,0.0017585077404923,0.012093246176299,2.132584485923,2.132584485923,2.17,1.1647775198824115,-2.8889402388073,3.7524472172406,3.7524472172406,2.92,-1.231410213456649,-3.8341923548297,3.5718845217906,2.074055836102479,1.2062588972059887,-1.1899288361330718,2.074055836102479,1.2062588972059887,1.1899288361330718,1.0,pass
E_1_2_1,A,I,E_1_2_1_A_I,,0.17190638754113038,0.17225918166179,0.16823948291008,0.172371637896,0.17298362118986,0.42696775079689,0.42696775079689,2.14,0.7720400903217743,0.43147309646901,1.1200881478243,1.1200881478243,2.71,0.5989265324670179,0.11990574846165,1.8083915667232,0.221990557483053,0.6001337027806439,0.42702014492588747,0.221990557483053,0.6001337027806439,0.42702014492588747,1.0,pass
E_1_2_1,B,P,E_1_2_1_B_P,,-1.072764387955988,-1.0751232943795,-1.0761044864844,-1.0463641881264,-1.3607169917237,-0.62599965482702,1.3607169917237,2.16,-2.4075014226939677,-6.918226993593,2.5883423824715,6.918226993593,2.72,2.1032521820035037,-5.4488103841829,10.418275733222,-0.04267816837622762,-1.3347370347379797,3.1760165699594918,0.04267816837622762,1.3347370347379797,3.1760165699594918,1.0,pass
E_1_2_1,B,Q,E_1_2_1_B_Q,,0.6623490040514048,0.65602600115186,0.65307896855243,0.7020310359387,0.71056320480791,2.4145031789909,2.4145031789909,2.22,0.8773726426661049,-2.6174738509836,3.424325186783,3.424325186783,2.92,-1.0977201213446501,-5.7523144689231,3.3338030255143,1.6987807672438167,0.21502363861470009,-1.760069125396055,1.6987807672438167,0.21502363861470009,1.760069125396055,1.0,pass
E_1_2_1,B,I,E_1_2_1_B_I,,0.2044053151227576,0.20407780551463,0.20355710631182,0.20816670750535,0.21012841436707,0.52148961389717,0.52148961389717,2.17,0.7911523253249385,0.35359324207289,1.1305857462301,1.1305857462301,2.7,0.555505337050995,0.032025015968252,1.772816716881,0.2870711970044429,0.5867470102021809,0.3511000219282374,0.2870711970044429,0.5867470102021809,0.3511000219282374,1.0,pass
E_1_39_1,A,P,E_1_39_1_A_P,,1.068517779359196,1.0708578301692,1.0433755014585,1.0718234802347,0.60692216440573,1.3322673730438,1.3322673730438,2.16,2.323790582921215,-2.6435625772875,6.7643509749805,6.7643509749805,2.72,-2.1589152786027395,-10.818499503034,5.3519986984114,0.021729537889197736,1.255272803562019,-3.2274330579619352,0.021729537889197736,1.255272803562019,3.2274330579619352,1.0,pass
E_1_39_1,A,Q,E_1_39_1_A_Q,,0.041481377323577096,0.048178159674141,-0.0017585077404923,0.050410861800066,-2.132584485923,-0.012093246176299,2.132584485923,2.17,-1.1647775198824115,-3.7524472172406,2.8889402388073,3.7524472172406,2.92,1.231410213456649,-3.5718845217906,3.8341923548297,-2.074055836102479,-1.2062588972059887,1.1899288361330718,2.074055836102479,1.2062588972059887,1.1899288361330718,1.0,pass
E_1_39_1,A,I,E_1_39_1_A_I,,0.17190638754113038,0.17225918166179,0.16823948291008,0.172371637896,0.17298362118986,0.42696775079689,0.42696775079689,2.14,0.7720400903217743,0.43147309646901,1.1200881478243,1.1200881478243,2.71,0.5989265324670179,0.11990574846165,1.8083915667232,0.221990557483053,0.6001337027806439,0.42702014492588747,0.221990557483053,0.6001337027806439,0.42702014492588747,1.0,pass
E_1_39_1,B,P,E_1_39_1_B_P,,1.06723071393596,1.0695475284631,1.0431413008369,1.0704892533262,0.60403283103051,1.3272045166007,1.3272045166007,2.16,2.3017943662304416,-2.6573165689757,6.7195734112574,6.7195734112574,2.72,-2.176505616069723,-10.934443188775,5.3227170330871,0.018730205314695825,1.2345636522944816,-3.243736330005683,0.018730205314695825,1.2345636522944816,3.243736330005683,1.0,pass
