channel_name,xml_component_id,inf_pgb,out_file,data_column,sample_count,first_time_s,last_time_s,time_axis_status,mapping_status
Wang_39,139895817,364,3IBR_DFIG1_TRIAL_37.out,4,2001,0.0,20.0,pass,pass
Wpu_39,774958082,363,3IBR_DFIG1_TRIAL_37.out,3,2001,0.0,20.0,pass,pass
Ef_39,133816600,362,3IBR_DFIG1_TRIAL_37.out,2,2001,0.0,20.0,pass,pass
If_39,134078744,361,3IBR_DFIG1_TRIAL_37.out,1,2001,0.0,20.0,pass,pass
TE_39,1963005607,360,3IBR_DFIG1_TRIAL_36.out,10,2001,0.0,20.0,pass,pass
TM_39,1606775247,359,3IBR_DFIG1_TRIAL_36.out,9,2001,0.0,20.0,pass,pass
Vm_39,181722735,358,3IBR_DFIG1_TRIAL_36.out,8,2001,0.0,20.0,pass,pass
P_39,1234496440,357,3IBR_DFIG1_TRIAL_36.out,7,2001,0.0,20.0,pass,pass
Q_39,1234430904,356,3IBR_DFIG1_TRIAL_36.out,6,2001,0.0,20.0,pass,pass
Wang_30,355168961,,,,,,,,missing_in_inf
Wpu_30,1248384312,,,,,,,,missing_in_inf
Ef_30,2011286094,,,,,,,,missing_in_inf
If_30,2011548238,,,,,,,,missing_in_inf
TE_30,1871106633,,,,,,,,missing_in_inf
TM_30,1514876273,,,,,,,,missing_in_inf
Vm_30,89823761,,,,,,,,missing_in_inf
P_30,1910772808,,,,,,,,missing_in_inf
Q_30,1910838344,,,,,,,,missing_in_inf
Wang_37,1980933719,319,3IBR_DFIG1_TRIAL_32.out,9,2001,0.0,20.0,pass,pass
Wpu_37,2144398928,318,3IBR_DFIG1_TRIAL_32.out,8,2001,0.0,20.0,pass,pass
Ef_37,1089490634,317,3IBR_DFIG1_TRIAL_32.out,7,2001,0.0,20.0,pass,pass
If_37,1089228490,316,3IBR_DFIG1_TRIAL_32.out,6,2001,0.0,20.0,pass,pass
TE_37,1229670095,315,3IBR_DFIG1_TRIAL_32.out,5,2001,0.0,20.0,pass,pass
TM_37,873439735,314,3IBR_DFIG1_TRIAL_32.out,4,2001,0.0,20.0,pass,pass
Vm_37,1996475049,313,3IBR_DFIG1_TRIAL_32.out,3,2001,0.0,20.0,pass,pass
P_37,667858551,312,3IBR_DFIG1_TRIAL_32.out,2,2001,0.0,20.0,pass,pass
Q_37,667924087,311,3IBR_DFIG1_TRIAL_32.out,1,2001,0.0,20.0,pass,pass
Wang_38,2068268600,310,3IBR_DFIG1_TRIAL_31.out,10,2001,0.0,20.0,pass,pass
Wpu_38,46499993,309,3IBR_DFIG1_TRIAL_31.out,9,2001,0.0,20.0,pass,pass
Ef_38,172719289,308,3IBR_DFIG1_TRIAL_31.out,8,2001,0.0,20.0,pass,pass
If_38,172457145,307,3IBR_DFIG1_TRIAL_31.out,7,2001,0.0,20.0,pass,pass
TE_38,849900664,306,3IBR_DFIG1_TRIAL_31.out,6,2001,0.0,20.0,pass,pass
TM_38,493670304,305,3IBR_DFIG1_TRIAL_31.out,5,2001,0.0,20.0,pass,pass
Vm_38,931382208,304,3IBR_DFIG1_TRIAL_31.out,4,2001,0.0,20.0,pass,pass
P_38,435950664,303,3IBR_DFIG1_TRIAL_31.out,3,2001,0.0,20.0,pass,pass
Q_38,436016200,302,3IBR_DFIG1_TRIAL_31.out,2,2001,0.0,20.0,pass,pass
Wang_31,1893004843,346,3IBR_DFIG1_TRIAL_35.out,6,2001,0.0,20.0,pass,pass
Wpu_31,671788594,345,3IBR_DFIG1_TRIAL_35.out,5,2001,0.0,20.0,pass,pass
Ef_31,1835982812,344,3IBR_DFIG1_TRIAL_35.out,4,2001,0.0,20.0,pass,pass
If_31,1835720668,343,3IBR_DFIG1_TRIAL_35.out,3,2001,0.0,20.0,pass,pass
TE_31,1438330611,342,3IBR_DFIG1_TRIAL_35.out,2,2001,0.0,20.0,pass,pass
TM_31,1082100251,341,3IBR_DFIG1_TRIAL_35.out,1,2001,0.0,20.0,pass,pass
Vm_31,1788076677,340,3IBR_DFIG1_TRIAL_34.out,10,2001,0.0,20.0,pass,pass
P_31,240325704,339,3IBR_DFIG1_TRIAL_34.out,9,2001,0.0,20.0,pass,pass
Q_31,240391240,338,3IBR_DFIG1_TRIAL_34.out,8,2001,0.0,20.0,pass,pass
Wang_32,575034364,337,3IBR_DFIG1_TRIAL_34.out,7,2001,0.0,20.0,pass,pass
Wpu_32,102703821,336,3IBR_DFIG1_TRIAL_34.out,6,2001,0.0,20.0,pass,pass
Ef_32,2062139987,335,3IBR_DFIG1_TRIAL_34.out,5,2001,0.0,20.0,pass,pass
If_32,2062402131,334,3IBR_DFIG1_TRIAL_34.out,4,2001,0.0,20.0,pass,pass
TE_32,234917060,333,3IBR_DFIG1_TRIAL_34.out,3,2001,0.0,20.0,pass,pass
TM_32,121313300,332,3IBR_DFIG1_TRIAL_34.out,2,2001,0.0,20.0,pass,pass
Vm_32,1303477068,331,3IBR_DFIG1_TRIAL_34.out,1,2001,0.0,20.0,pass,pass
P_32,1866329016,330,3IBR_DFIG1_TRIAL_33.out,10,2001,0.0,20.0,pass,pass
Q_32,1866263480,329,3IBR_DFIG1_TRIAL_33.out,9,2001,0.0,20.0,pass,pass
Wang_33,937323206,355,3IBR_DFIG1_TRIAL_36.out,5,2001,0.0,20.0,pass,pass
Wpu_33,847329687,354,3IBR_DFIG1_TRIAL_36.out,4,2001,0.0,20.0,pass,pass
Ef_33,360207479,353,3IBR_DFIG1_TRIAL_36.out,3,2001,0.0,20.0,pass,pass
If_33,359945335,352,3IBR_DFIG1_TRIAL_36.out,2,2001,0.0,20.0,pass,pass
TE_33,218061938,351,3IBR_DFIG1_TRIAL_36.out,1,2001,0.0,20.0,pass,pass
TM_33,574292298,350,3IBR_DFIG1_TRIAL_35.out,10,2001,0.0,20.0,pass,pass
Vm_33,850498070,349,3IBR_DFIG1_TRIAL_35.out,9,2001,0.0,20.0,pass,pass
P_33,758191176,348,3IBR_DFIG1_TRIAL_35.out,8,2001,0.0,20.0,pass,pass
Q_33,758256712,347,3IBR_DFIG1_TRIAL_35.out,7,2001,0.0,20.0,pass,pass
Wang_34,142513466,328,3IBR_DFIG1_TRIAL_33.out,8,2001,0.0,20.0,pass,pass
Wpu_34,1386101143,327,3IBR_DFIG1_TRIAL_33.out,7,2001,0.0,20.0,pass,pass
Ef_34,89216119,326,3IBR_DFIG1_TRIAL_33.out,6,2001,0.0,20.0,pass,pass
If_34,88953975,325,3IBR_DFIG1_TRIAL_33.out,5,2001,0.0,20.0,pass,pass
TE_34,52929422,324,3IBR_DFIG1_TRIAL_33.out,4,2001,0.0,20.0,pass,pass
TM_34,303300938,323,3IBR_DFIG1_TRIAL_33.out,3,2001,0.0,20.0,pass,pass
Vm_34,1121489430,322,3IBR_DFIG1_TRIAL_33.out,2,2001,0.0,20.0,pass,pass
P_34,1417155656,321,3IBR_DFIG1_TRIAL_33.out,1,2001,0.0,20.0,pass,pass
