network_branch_id,paper_identity_relation,fault_bus_distance_or_relation,pre_fault_S_max,fault_on_S_max,post_clear_early_S_max,post_clear_late_S_max,candidate_effective_capacity_band_lower,candidate_effective_capacity_band_upper,selected_effective_capacity_pu,pre_fault_no_trip_margin,threshold_crossing_time_window,expected_timer_completion_window,expected_first_trip_window,robustness_under_minus_2_percent_limit,robustness_under_plus_2_percent_limit,robustness_under_minus_5_percent_limit,robustness_under_plus_5_percent_limit,paper_alignment_score,flow_persistence_score,parameter_robustness_score,selection_status,rejection_reason,terminal_a_node,terminal_b_node,best_5s_window_start_s,best_5s_window_end_s,best_5s_window_minimum_smax_pu,post_clear_late_S_mean
E_1_2_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N1-N2,1.285106370203961,2.7710217026963413,6.987993580116055,11.791206473986998,1.168278518367237,1.438570271051229,1.3012419739719818,0.1462598011652192,2.5,7.5,7.5,True,True,True,True,0.5188241684261257,1.0,0.0436484147450225,not_selected,eligible_but_lower_fixed_selection_score_or_less_direct_N29_fault_relation,N1,N2,13.76,18.759999999999998,1.5824272981563519,3.7243677950182166
E_1_39_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N1-N39,1.3498035264829416,2.5138926842125264,6.769238637917712,10.954972841397845,1.2270941149844923,1.967749925737253,1.590651722942522,0.399913368753833,2.5,7.5,7.5,True,True,True,True,0.5334012155057315,1.0,0.13540594836701195,not_selected,eligible_but_lower_fixed_selection_score_or_less_direct_N29_fault_relation,N1,N39,13.77,18.77,2.1645249183109785,3.9160213348060617
E_2_3_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N2-N3,3.4314403587780684,3.4068915529345465,6.877781079242647,10.06930523337907,3.1194912352527893,2.5348350756857325,,,,,,False,False,False,False,0.24069305233379068,0.0,0.0,rejected,no_capacity_band_satisfies_prefault_no_trip_and_5s_postclear_continuous_overthreshold_with_2pct_robustness,N2,N3,9.1,14.1,2.788318583254306,3.716420774092078
E_2_25_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N2-N25,2.9359459299733004,3.0228942094415614,13.109555638035175,14.93827392032145,2.669041754521182,3.9963977256213403,3.320774490156322,0.7169060091986541,2.52,7.52,7.52,True,True,True,True,0.5991089887779097,1.0,0.23890499829878112,not_selected,eligible_but_lower_fixed_selection_score_or_less_direct_N29_fault_relation,N2,N25,8.22,13.22,4.396037498183475,5.448963609636624
E_3_4_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N3-N4,1.3364294764848872,1.8014370680810707,5.362404781220794,7.153937390256139,1.2149358877135337,2.6262278582662235,1.9072318460227609,0.7615255541401498,2.52,7.52,7.52,True,True,True,True,0.5282895087381504,1.0,0.2670005393423559,not_selected,eligible_but_lower_fixed_selection_score_or_less_direct_N29_fault_relation,N3,N4,14.42,19.42,2.8888506440928463,3.600837504268378
E_3_18_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N3-N18,0.7342519032183082,1.5744898345245628,3.571143705100479,5.09577617335884,0.667501730198462,0.39021881736246666,,,,,,False,False,False,False,0.1909577617335884,0.0,0.0,rejected,no_capacity_band_satisfies_prefault_no_trip_and_5s_postclear_continuous_overthreshold_with_2pct_robustness,N3,N18,11.3,16.3,0.4292406990987134,1.7823770455249333
E_4_5_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N4-N5,1.5104696477687107,2.567157049973571,4.533784098650783,8.253997318431306,1.3731542252442823,3.0618599972471734,2.201500653787214,0.9111810713972246,2.5,7.5,7.5,True,True,True,True,0.5525722604768832,1.0,0.32012914917028046,not_selected,eligible_but_lower_fixed_selection_score_or_less_direct_N29_fault_relation,N4,N5,13.74,18.740000000000002,3.3680459969718908,3.817662837160798
E_4_14_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N4-N14,2.823993579424023,2.8705883068504185,4.067186226974015,4.180075343222013,2.5672668903854756,2.082909379845541,,,,,,False,False,False,False,0.18180075343222013,0.0,0.0,rejected,no_capacity_band_satisfies_prefault_no_trip_and_5s_postclear_continuous_overthreshold_with_2pct_robustness,N4,N14,14.33,19.33,2.2912003178300955,3.1018731163050455
E_5_8_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N5-N8,3.1935134941380987,3.1898196119588977,5.529105604344632,4.9903574514469105,2.9031940855800893,1.490132828574603,,,,,,False,False,False,False,0.1899035745144691,0.0,0.0,rejected,no_capacity_band_satisfies_prefault_no_trip_and_5s_postclear_continuous_overthreshold_with_2pct_robustness,N5,N8,14.33,19.33,1.6391461114320633,2.581975842193134
E_6_7_1,paper-constrained adapted-network first-trip candidate,endpoint distance class 2 from N29 fault; endpoints N6-N7,4.298360281161257,4.293281922332176,6.275662781673159,5.792598190791149,3.907600255601142,2.806354468968017,,,,,,False,False,False,False,0.19792598190791147,0.0,0.0,rejected,no_capacity_band_satisfies_prefault_no_trip_and_5s_postclear_continuous_overthreshold_with_2pct_robustness,N6,N7,14.34,19.34,3.086989915864819,3.818432377894288
