signal,first_assertion_after_1p5_s,value_at_3_s
DFIG_LVRT_TRIP_CAUSE_DURATION_LATCH,2.44,1.0
DFIG_LVRT_FINAL_BRK_CMD,2.44,1.0
DFIG_LVRT_TRIP_CONFIRMED,2.44,1.0
DFIG_BRK_STATE,2.44,2.0
