time_s,CASCADE3_ELEC_DFIG_V,PIBR1_2,QIBR1_2,DFIG_LVRT_TRIP_CAUSE_DURATION_LATCH,DFIG_LVRT_FINAL_BRK_CMD,DFIG_LVRT_TRIP_CONFIRMED,DFIG_BRK_STATE,DFIG_LVRT_CASCADE_EVENT_VALID,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S
2.3,0.85932247147725,202.19787732477,-20.943427253702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.31,0.85940720265183,202.07584927217,-21.082057601702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.32,0.85946484488525,201.99008962041,-20.934079486042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.33,0.85945098736469,202.01915349852,-20.951564592872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.34,0.85947846196887,201.84973318398,-20.955804655648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.35,0.85948182971157,201.85363979409,-20.861074638496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.36,0.85953476098952,201.77377165861,-20.961284325283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.37,0.85956620907992,201.66279416866,-20.824448088683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.38,0.85965199187333,201.67474442231,-20.875872337843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.39,0.85966963647128,201.49803559047,-20.840337411663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.4,0.85972700322856,201.55068677043,-20.747662174152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.41,0.85981909156544,201.4149170386,-20.810939325743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.42,0.85990147219359,201.35316326684,-20.729591374244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.43,0.85986482761412,201.33785807903,-20.734815775076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2.44,0.85649501214371,109.63692078831,-11.2696802098,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.45,0.86062128271797,40.332802101313,-4.1462256284064,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.46,0.86786077248058,14.836853354376,-1.5254660944049,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.47,0.86875018172937,5.4571600712295,-0.5606288970102,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.48,0.86934030572795,2.0072173386815,-0.20418290049688,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.49,0.86969664094483,0.74020816998803,-0.071954734798784,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.5,0.86999872221348,0.27923127650826,-0.023194329689528,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.51,0.85549950915483,0.12453636691434,-0.02165924669226,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.52,0.79814534087735,0.12749579188604,-0.080827238254215,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.53,0.76616436981337,0.090726088769145,-0.12340355135875,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.54,0.75609251336652,0.013784537529584,-0.10282227833473,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.55,0.74882635713079,-0.11833682443467,-0.07529487054121,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.56,0.74397803235446,-0.18285692690244,0.026092244311179,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.57,0.74135684135018,-0.28921954753404,0.25253567648711,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.58,0.74095602122086,-0.23254702523269,0.55127123037767,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.59,0.74244795820891,0.15582415299831,0.64612597781701,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
2.6,0.74598086598841,0.73509921578123,0.74889064340052,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.43395
