time_s,PAPER_OVL1_S_A_PU,PAPER_OVL1_S_B_PU,PAPER_OVL1_S_MAX_PU,PAPER_OVL1_EFFECTIVE_CAPACITY_PU,PAPER_OVL1_LOADING_INDEX_EQ,PAPER_OVL1_ABOVE_THRESHOLD,PAPER_OVL1_TIMER_OR_CURVE_STATE,PAPER_OVL1_TRIP_REQUEST,PAPER_OVL1_BRK_CMD,PAPER_OVL1_BRK_STATE,PAPER_OVL1_TRIP_EVENT_VALID,PAPER_OVL1_FIRST_TRIP_TIME_S,PAPER_OVL1_RELAY_ENABLE
0.0,0.0,0.0,0.0,7.87288399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.01,0.0053142466165907,0.0056414698782986,0.0056414698782986,7.87288399,0.00071656966944569,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.02,0.045858408202958,0.047276996634215,0.047276996634215,7.87288399,0.0060050416968249,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.03,0.15023387049391,0.15360097351355,0.15360097351355,7.87288399,0.019510127890701,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.04,0.33113257654028,0.33712647851326,0.33712647851326,7.87288399,0.042821217604815,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.05,0.60246255459432,0.61169587160763,0.61169587160763,7.87288399,0.077696543272401,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.06,0.96780590634531,0.98114945539372,0.98114945539372,7.87288399,0.12462389343473,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.07,1.4295296381509,1.4473792784966,1.4473792784966,7.87288399,0.18384359280983,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.08,1.9959062892373,2.0191749752323,2.0191749752323,7.87288399,0.256472085426,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.09,2.6591801470462,2.6884742106131,2.6884742106131,7.87288399,0.34148530754777,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.1,3.4281557442623,3.4640294411664,3.4640294411664,7.87288399,0.43999498094553,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.11,4.1820234955001,4.2193051179453,4.2193051179453,7.87288399,0.5359287807752,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.12,4.6262667106444,4.663553928642,4.663553928642,7.87288399,0.59235649027289,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.13,4.9064929097582,4.9428117537712,4.9428117537712,7.87288399,0.62782733240442,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.14,5.0790850445593,5.1156770129451,5.1156770129451,7.87288399,0.64978437627723,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.15,5.1745378332043,5.2107743543258,5.2107743543258,7.87288399,0.66186347480091,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.16,5.2424379895322,5.2786196056672,5.2786196056672,7.87288399,0.67048106035501,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.17,5.2761256120245,5.3123838098387,5.3123838098387,7.87288399,0.67476973070941,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.18,5.3001369663291,5.3361889680754,5.3361889680754,7.87288399,0.67779342041028,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.19,5.3148056399548,5.3510237532335,5.3510237532335,7.87288399,0.67967770896031,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.2,5.3207476870454,5.3568253723936,5.3568253723936,7.87288399,0.68041462051235,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.21,5.3287237022131,5.3648568752584,5.3648568752584,7.87288399,0.68143476800531,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.22,5.3291468171335,5.3653043203871,5.3653043203871,7.87288399,0.68149160170556,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
