time_s,DFIG_BRK_STATE,PAPER_OVL1_BRK_STATE,PAPER_OVL2_S_A_PU,PAPER_OVL2_S_B_PU,PAPER_OVL2_S_MAX_PU,PAPER_OVL2_EFFECTIVE_CAPACITY_PU,PAPER_OVL2_LOADING_INDEX_EQ,PAPER_OVL2_ABOVE_THRESHOLD,PAPER_OVL2_TIMER_OR_CURVE_STATE,PAPER_OVL2_TRIP_REQUEST,PAPER_OVL2_BRK_CMD,PAPER_OVL2_BRK_STATE,PAPER_OVL2_TRIP_EVENT_VALID,PAPER_OVL2_FIRST_TRIP_TIME_S,PAPER_OVL2_RELAY_ENABLE
0.0,0.0,0.0,0.0,0.0,0.0,18.2628731341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.01,0.0,0.0,0.00080053344643054,0.0016662035878785,0.0016662035878785,18.2628731341,9.1234472015654e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.02,0.0,0.0,0.013909614940165,0.01651214309709,0.01651214309709,18.2628731341,0.00090413720644308,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.03,0.0,0.0,0.049668961139561,0.056394054069015,0.056394054069015,18.2628731341,0.0030879070152285,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.04,0.0,0.0,0.11343586717162,0.12610026386036,0.12610026386036,18.2628731341,0.006904733057851,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.05,0.0,0.0,0.21059482184927,0.23165463787315,0.23165463787315,18.2628731341,0.012684457487722,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.06,0.0,0.0,0.34186434037277,0.37450801943872,0.37450801943872,18.2628731341,0.020506522532835,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.07,0.0,0.0,0.50965564021995,0.55526369131643,0.55526369131643,18.2628731341,0.030403961481814,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.08,0.0,0.0,0.71607884506221,0.77777966781619,0.77777966781619,18.2628731341,0.042588023368784,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.09,0.0,0.0,0.95883413709637,1.0386280063311,1.0386280063311,18.2628731341,0.056871008121488,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
