signal,stage4_pre_fault_mean,stage4_pre_fault_min,stage4_pre_fault_max,stage9_pre_fault_mean,stage9_pre_fault_min,stage9_pre_fault_max,absolute_difference,relative_difference,signal_unit_status,comparison_confidence,classification
VIBR1_2,0.8802858881125598,7.9015918286441e-05,1.0137134800683,0.8775208022389647,7.9015918286441e-05,1.0107344819026,-0.002765085873595141,-0.0031411225727176226,raw_unit_unspecified,high,pre_fault_equivalent
PIBR1_2,-2.5156872130201733,-21.808036269519,-6.1758973797331e-06,-2.508399950913961,-21.898131521084,-6.1758973797331e-06,0.007287262106212111,0.002896728205516253,raw_unit_unspecified,high,pre_fault_equivalent
QIBR1_2,25.950979105906463,-0.041847802705914,37.607786790417,25.79633460081187,-0.040404686668388,37.382797847965,-0.15464450509459127,-0.005959100982798528,raw_unit_unspecified,high,pre_fault_equivalent
DFIG_LVRT_BRK_OPEN_BOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,raw_unit_unspecified,high,pre_fault_equivalent
DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,raw_unit_unspecified,high,pre_fault_equivalent
E_28_29_1_A_P,-2.8641741843525352,-3.5311829636375,0.0,-4.333182099200256,-5.3412717633,0.0,-1.4690079148477206,-0.5128905647125646,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_28_29_1_A_Q,0.17975367909526946,0.0,0.22170761736175,0.08449965394537463,-0.00014505728152382,0.1112751034109,-0.09525402514989482,-0.5299141894025445,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_28_29_1_A_I,0.477812354475649,0.0,0.56575304930043,0.7278223476611765,0.0,0.86171209215316,0.25000999318552747,0.5232388632141759,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_28_29_1_B_P,-2.878406244510126,-3.5475087126119,-2.8387772292467e-28,-4.365071082017044,-5.3785116358898,-2.6957308501233e-27,-1.4866648375069182,-0.5164888869812513,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_28_29_1_B_Q,0.2609318994294132,-5.5186322624168e-60,0.32161392079914,-0.021026809377626177,-0.04669264657399,0.022993262651621,-0.2819587088070394,-1.08058351402648,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_28_29_1_B_I,0.4809024876657518,4.0888636774357e-15,0.56903003563522,0.7283391560221811,1.2600136192115e-14,0.86195926305011,0.24743666835642936,0.5145256568695661,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_A_P,-1.578476164818864,-1.9518039247046,0.0,2.2261739129901987,0.0,2.7406522915376,3.804650077809063,2.4103310284990336,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_A_Q,-0.2438428037148217,-0.31489411106286,0.0,-0.31516762164421686,-0.38952774653888,0.0,-0.07132481792939516,-0.29250327195552894,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_A_I,0.2657074314960262,0.0,0.31628127542265,0.37998321013498115,0.0,0.44839398661027,0.11427577863895494,0.4300812287994436,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_B_P,-1.599025621784261,-1.9735642551363,-2.7353599178283e-28,2.188874689484584,0.0,2.6997173042632,3.787900311268845,2.368880310399369,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_B_Q,0.49318637292948736,-1.8395440874723e-60,0.60679938783326,0.2076587383953328,0.0,0.25651741435479,-0.28552763453415453,-0.5789446955684184,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_29_1_B_I,0.2783747718171981,3.9399054274115e-15,0.32959009882965,0.3754828435324354,0.0,0.44416048647724,0.09710807171523728,0.3488393401504277,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_A_P,-1.17803726503062,-1.4592464033758,0.0,-2.6462481728618172,-3.2693376354153,0.0,-1.4682109078311973,-1.2463195786875512,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_A_Q,-0.2143433711707259,-0.27869932181354,0.0,0.01650507457221732,-0.0029178003173716,0.057368999453637,0.23084844574294322,1.077002962499227,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_A_I,0.19906206004535346,0.0,0.23759138675823,0.446011114676028,0.0,0.52999512342837,0.24694905463067454,1.2405631418383327,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_B_P,-1.187662358082488,-1.468573668883,0.0,-2.685380732927996,-3.3139168395211,0.0,-1.4977183748455078,-1.2610641102270963,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_B_Q,0.4043067934461461,0.0,0.497249961486,0.3052090439580952,0.0,0.37576996559014,-0.09909774948805089,-0.24510532866238066,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
E_26_28_1_B_I,0.20875158696282697,0.0,0.24765316182627,0.4536191372652835,0.0,0.53781780898699,0.24486755030245655,1.1730092875704023,raw_unit_unspecified,high,pre_fault_different_and_potentially_nonintended
PAPER_OVL1_BRK_STATE,,,,0.0,0.0,0.0,,,raw_unit_unspecified,not_comparable,missing_runtime_observability
