scenario_id,R_fault_ohm,run_status,build_errors,build_warnings,emtdc_completed,output_end_time_s,V_min_pu,V_min_time_s,V_fault_mean_pu,V_recovery_time_s,Edc_pu_peak,Ecap_Det_peak_kV,BRK_CHOP_active,BRK_CHOP_duration_s,DFIG_CROWBAR_STATE_active,DFIG_CROWBAR_STATE_duration_s,RSC_max_abs_current,GSC_max_abs_current,Crowbar_current_max_abs,Wpu_pre_mean,Wpu_post_mean,DFIG_BRK_STATE_fault_mean,DFIG_DBLK_CMD_fault_mean,voltage_sag_class_relative
r_0p01_restored,0.01,completed,0,2,True,4.9966,0.057864762987737,2.07915,0.13728805500581684,2.1912,1.4277799048224,2.0701263781745,True,0.008300000000000196,False,0.0,1.7153289194924,1.5328069930015,1.018813154312e-05,1.2056315828916249,1.2000213428765283,0.0,1.0,extreme_deep_relative_to_this_sweep
r_0p03,0.03,completed,0,0,True,4.9966,0.16654051865468,2.0501,0.24276690226144837,2.18705,1.3298367282125,1.9279118003978,True,0.008300000000000196,False,0.0,1.4579690024903,1.2906361764733,8.2605034512782e-06,1.2056315828916249,1.1999976460184412,0.0,1.0,deep_relative_to_this_sweep
r_0p10,0.1,completed,0,2,True,4.9966,0.51478515211888,2.1497,0.554226668190593,2.17045,1.2273900009581,1.7790608022827,True,0.004150000000000098,False,0.0,0.91496784129474,0.96710281299122,7.6560512157888e-06,1.2056315828916249,1.199955013546163,0.0,1.0,moderate_relative_to_this_sweep
r_0p30,0.3,completed,0,2,True,4.9966,0.83771393884946,2.0169,0.8920827172831294,2.158,1.0713741401413,1.5535917427699,False,0.0,False,0.0,0.57335175003032,0.57819261458892,6.4807465475627e-06,1.2056315828916249,1.1999829486841718,0.0,1.0,shallow_relative_to_this_sweep
r_1p00,1.0,completed,0,2,True,4.9966,0.96215913258912,2.01275,0.9864136782379783,2.15385,1.0172701868112,1.4750850058909,False,0.0,False,0.0,0.39934393285464,0.51496045051814,4.6684674345253e-06,1.2056315828916249,1.1999890863385265,0.0,1.0,shallow_relative_to_this_sweep
