signal,pgb,out_file,column,unit,window,min,mean,max,range,max_abs,max_abs_time_s,confidence
SPD30,1,3IBR_01.out,2,Hz candidate,pre_1p8_2p0,60.0,60.0,60.0,0.0,60.0,1.8011,medium
SPD30,1,3IBR_01.out,2,Hz candidate,fault_2p0_2p15,60.0,60.0,60.0,0.0,60.0,2.0003,medium
SPD30,1,3IBR_01.out,2,Hz candidate,post_4p0_5p0,60.0,60.0,60.0,0.0,60.0,4.0006,medium
VIBR1_2,2,3IBR_01.out,3,pu candidate,pre_1p8_2p0,0.99672383643441,0.9968763745649599,0.99699571928263,0.0002718828482199953,0.99699571928263,1.97125,high
VIBR1_2,2,3IBR_01.out,3,pu candidate,fault_2p0_2p15,0.057864762987737,0.13728805500581684,0.98717140481857,0.929306641830833,0.98717140481857,2.0003,high
VIBR1_2,2,3IBR_01.out,3,pu candidate,post_4p0_5p0,0.98145341045348,0.9969654539520147,1.0119882741761,0.03053486372261993,1.0119882741761,4.90115,high
PIBR1_2,4,3IBR_01.out,5,MW,pre_1p8_2p0,200.91917097543,202.08894331701626,202.94899244631,2.0298214708799946,202.94899244631,1.99615,high
PIBR1_2,4,3IBR_01.out,5,MW,fault_2p0_2p15,-227.87984993755,-150.93404762808007,196.83188335967,424.71173329722,227.87984993755,2.02935,high
PIBR1_2,4,3IBR_01.out,5,MW,post_4p0_5p0,198.89665635073,199.19742146935292,199.46932274421,0.5726663934799774,199.46932274421,4.3243,high
QIBR1_2,6,3IBR_01.out,7,MVAr,pre_1p8_2p0,-13.992370223711,-13.82658333106196,-13.640614135723,0.35175608798799907,13.992370223711,1.8094,high
QIBR1_2,6,3IBR_01.out,7,MVAr,fault_2p0_2p15,-13.211934819186,3.9249178556142787,12.363727279717,25.575662098903003,13.211934819186,2.0003,high
QIBR1_2,6,3IBR_01.out,7,MVAr,post_4p0_5p0,-43.591469882909,-21.508556235580492,-12.369630667742,31.221839215167,43.591469882909,4.0006,high
DFIG_IFLT_C_KA,17,3IBR_02.out,8,kA,pre_1p8_2p0,-5.8532317451252e-05,-2.8488296270570856e-07,5.818095991821e-05,0.000116713277369462,5.8532317451252e-05,1.80525,high
DFIG_IFLT_C_KA,17,3IBR_02.out,8,kA,fault_2p0_2p15,-137.13945518689,-11.376629812087728,87.315818625958,224.455273812848,137.13945518689,2.0086,high
DFIG_IFLT_C_KA,17,3IBR_02.out,8,kA,post_4p0_5p0,-7.0515179304303e-05,1.8218414975235144e-08,7.0592564877555e-05,0.000141107744181858,7.0592564877555e-05,4.19565,high
DFIG_IFLT_B_KA,18,3IBR_02.out,9,kA,pre_1p8_2p0,-7.1383336182839e-05,1.5763342965430462e-07,7.1370584865336e-05,0.000142753921048175,7.1383336182839e-05,1.8011,high
DFIG_IFLT_B_KA,18,3IBR_02.out,9,kA,fault_2p0_2p15,-162.86496755032,-7.2279248862404515,98.558851189623,261.423818739943,162.86496755032,2.00445,high
