baseline_signal,exported_channel,pgb,out_file,column,unit,stats_window_s,min,mean,max,range,samples,pass_note,p3_assignment
DFIG_P_MW,PIBR1_2,4,3IBR_01.out,5,MW-scale PSCAD P output,19-20,199.05258531235,199.08437034102337,199.11600422704,0.06341891469000416,241,pass,line 2944: PIBR1_2
DFIG_Q_MVAr,QIBR1_2,6,3IBR_01.out,7,MVAr-scale PSCAD Q output,19-20,-18.822086117348,-18.788476799174205,-18.752377556776,0.06970856057199981,241,pass,line 2952: QIBR1_2
DFIG_V_PU_OR_KV,VIBR1_2,2,3IBR_01.out,3,pu-like RMS on 22 kV meter base,19-20,0.99980920909508,0.9998763645216878,0.99996533797708,0.00015612888200000619,241,pass,line 2936: VIBR1_2
DFIG_F_HZ,SPD30,1,3IBR_01.out,2,Hz candidate,19-20,60.0,60.0,60.0,0.0,241,pass,line 1017: SPD30
DFIG_DBLK_CMD,DFIG_DBLK_CMD,19,3IBR_02.out,10,logic,19-20,1.0,1.0,1.0,0.0,241,pass,line 1881: Dblk_DFIG
DFIG_VWIND_MS,DFIG_VWIND_MS,17,3IBR_02.out,8,m/s,19-20,11.0,11.0,11.0,0.0,241,pass,line 1863: Vwind
DFIG_BRK_STATE,DFIG_BRK_STATE,18,3IBR_02.out,9,logic,19-20,0.0,0.0,0.0,0.0,241,pass,line 1877: REAL(DFIG_BRK_STATE)
