source_project,term,element,id,name,defn,value,definition_scope,xml_path,evidence_class
type3_average,Vbase,param,,Vbase,,1.0 [kV],Cable_3,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Cable_3']/schematic[@name='RowCanvas']/User[@name='master:Line_Out_Disp']/paramlist/param[@name='Vbase'],verified_from_model_file
type3_average,Sbase,port,,Sbase,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/port[@name='Sbase'],verified_from_model_file
type3_average,Vbase,port,,Vbase,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/port[@name='Vbase'],verified_from_model_file
type3_average,freq,port,,freq,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/port[@name='freq'],verified_from_model_file
type3_average,Vbase,text,,,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/text,verified_from_model_file
type3_average,Sbase,text,,,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/text,verified_from_model_file
type3_average,freq,text,,,,,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/svg/text,verified_from_model_file
type3_average,Vbase,param,,Name,,Vbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='master:import']/paramlist/param[@name='Name'],verified_from_model_file
type3_average,Sbase,param,,Name,,Sbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='master:import']/paramlist/param[@name='Name'],verified_from_model_file
type3_average,freq,param,,G,,freq,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='1723090878']/paramlist/param[@name='G'],verified_from_model_file
type3_average,Vbase,param,,Name,,Vbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='datalabel']/paramlist/param[@name='Name'],verified_from_model_file
type3_average,Sbase,param,,Name,,Sbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='master:datalabel']/paramlist/param[@name='Name'],verified_from_model_file
type3_average,freq,param,,Name,,freq,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/schematic[@name='UserCanvas']/User[@name='master:import']/paramlist/param[@name='Name'],verified_from_model_file
type3_average,Sbase,param,,name,,Sbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/graphics/Port[@name='569907614']/paramlist/param[@name='name'],verified_from_model_file
type3_average,Vbase,param,,name,,Vbase,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/graphics/Port[@name='1577917951']/paramlist/param[@name='name'],verified_from_model_file
type3_average,freq,param,,name,,freq,Eq_R_L_SCR,/project[@name='Type3_Ave_Nov_2018']/definitions/Definition[@name='Eq_R_L_SCR']/graphics/Port[@name='1747061481']/paramlist/param[@name='name'],verified_from_model_file
