status_key,status_value
main_project_integrity_status,pass
trial_project_status,pass
ibr2_branch_mapping_status,pass
local_breaker_boundary_status,pass
no_parallel_bypass_status,pass
breaker_state_semantics_status,pass
output_channel_status,pass
control_path_isolation_status,pass
dynamic_behavior_status,unavailable
second_source_event_status,not_constructed
dual_source_collector_status,not_constructed
